SubCategory;Value;Type;Year;Month;Category
Efectivo;500;A;2017;12;Activos
A la vista - locales;31841;A;2017;12;Activos
A plazo - locales;770004;A;2017;12;Activos
Arrendamientos financieros por cobrar;7755352;A;2017;12;Activos
Préstamos comerciales;2434019;A;2017;12;Activos
Factorajes por cobrar;83716557;A;2017;12;Activos
y factorajes por cobrar;985743;A;2017;12;Activos
Intereses y comisiones no ganados;26566;A;2017;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;92893619;A;2017;12;Activos
Otros activos;777480;A;2017;12;Activos
Efectivo;500;A;2018;12;Activos
A la vista - locales;1907394;A;2018;12;Activos
A plazo - locales;-;A;2018;12;Activos
Total de depósitos en bancos;1907394;A;2018;12;Activos
Total de efectivo y depósitos en bancos;1907894;A;2018;12;Activos
Arrendamientos financieros por cobrar;9697289;A;2018;12;Activos
Préstamos comerciales;1207688;A;2018;12;Activos
Factorajes por cobrar;82721876;A;2018;12;Activos
factorajes por cobrar;992897;A;2018;12;Activos
Intereses y comisiones no ganados;28347;A;2018;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;92605609;A;2018;12;Activos
Otros activos;1305748;A;2018;12;Activos
Activos;2018;T;2018;6;Activos
Efectivo;500;T;2018;6;Activos
A la vista - locales;802751;T;2018;6;Activos
A plazo - locales;7770027;T;2018;6;Activos
Arrendamientos financieros por cobrar;8348720;T;2018;6;Activos
Préstamos comerciales;2414976;T;2018;6;Activos
Factorajes por cobrar;74437892;T;2018;6;Activos
Intereses y comisiones no ganados;1235421;T;2018;6;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;"7,16
83,941,639";T;2018;6;Activos
Otros activos;"9
1,565,659";T;2018;6;Activos
Activos;2019;A;2019;12;Activos
Efectivo;500;A;2019;12;Activos
A la vista - locales;1067016;A;2019;12;Activos
A la vista - extranjeros;696448;A;2019;12;Activos
Arrendamientos financieros por cobrar;29197177;A;2019;12;Activos
Préstamos comerciales;1202243;A;2019;12;Activos
Factorajes por cobrar;134404972;A;2019;12;Activos
factorajes por cobrar;1495708;A;2019;12;Activos
Intereses y comisiones no ganados;20265;A;2019;12;Activos
y factorajes por cobrar a costo amortizado;"7,17
163,288,419";A;2019;12;Activos
Impuesto diferido;"8
272,536";A;2019;12;Activos
Otros activos;"9
1,829,045";A;2019;12;Activos
"Consolidado
Activos";Eliminaciones Bicsa Leasing, S.A. Bicsa Factoring, S.A.;T;2019;12;Activos
Efectivo;500;T;2019;12;Activos
A la vista - locales;1067016;T;2019;12;Activos
A la vista - extranjeros;696448;T;2019;12;Activos
Inversiones en títulos de valores;{500,000);T;2019;12;Activos
Arrendamientos financieros por cobrar;"29,197,177
.";T;2019;12;Activos
Préstamos comerciales;"1,202,243
-";T;2019;12;Activos
Factorajes por cobrar;134404972;T;2019;12;Activos
comerciales y factorajes por cobrar;1678594;T;2019;12;Activos
Intereses y comisiones no ganados;20.265;T;2019;12;Activos
cobrar, neto;163105.533;T;2019;12;Activos
Impuesto Diferido;272536;T;2019;12;Activos
Otros activos;1.829.045;T;2019;12;Activos
Activos;2019;T;2019;3;Activos
Efectivo;500;T;2019;3;Activos
A la vista - locales;2.102,115;T;2019;3;Activos
A la vista - extranjeros;185408;T;2019;3;Activos
Arrendamientos financieros por cobrar;11203221;T;2019;3;Activos
Préstamos comerciales;1202.874;T;2019;3;Activos
Factorajes por cobrar;"102.499,917
114,906,012";T;2019;3;Activos
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes por cobrar;1.244,935;T;2019;3;Activos
Intereses y comisiones no ganados;27523;T;2019;3;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;113633554;T;2019;3;Activos
Otros activos;803.301;T;2019;3;Activos
Activos;2019;T;2019;6;Activos
Efectivo;500;T;2019;6;Activos
A la vista - locales;2357581;T;2019;6;Activos
A la vista - extranjeros;127715;T;2019;6;Activos
A plazo - extranjeros;2430013;T;2019;6;Activos
Arrendamientos financieros por cobrar;16564104;T;2019;6;Activos
Préstamos comerciales;1200901;T;2019;6;Activos
Factorajes por cobrar;93607170;T;2019;6;Activos
